id,domain,name,status,precision,predicts_n,true_counterexamples,refinement,info_gain_probe
L1,scheduling,absorption,stable-with-clause,high ~13/15,13,"TN dW TMA -294/-333 in-model despite standalone-neutral; NT C-store in-model > standalone (both = shared-resource congestion)","off-path latency savings absorbed; only releasing a shared currency (issue slots/L2) or shortening argmax chain moves the step","synthetic off-path work of controlled type (issue vs latency vs L2) -> quantitative resource boundary"
L2,scheduling,wait-column,stable,high ~9/10,9,none,"a hop's wait is other ops' overlap; deletable quantity is span; on-path mandatory waits negative-value to widen","pre-registered step-delta prediction from reconstructed realized chain before one knob flip"
L3,scheduling,wait-relocation,scoped-to-executor,high 10/10 in-regime,10,"~6 boundary wins (qt-outer; dq_first; hot-leaf trio; slot deps) all fed a specific starved consumer or locality","under single-sticky-head executor at saturation priority edits conserve total sibling wait","group-aware admission / partitioned executor at s8192 (the cluster-level falsifier)"
L4,scheduling,overlap-preservation,stable,high 8/8,8,none,"(old span - new span) must exceed overlap destroyed; 2/7 GEMM-unit savings never covered band/LPT overlap","one-pass under pdf producer budget WITH band overlap preserved at exact-s4096"
L5,scheduling,straggler-banding,stable-with-amendment,high ~11/12,11,"banded PDR +428 (L4 dominated; correct banding cannot rescue overlap deletion)","split only the makespan-owning op proportionally and only if freed SMs would idle (sink-pool recycling defeats it)","synthetic straggler injection at fixed tile count"
L6,fusion,fusion-algebra/hop-replacement (alias M8),stable,high ~12/13,12,none,"pays iff commutes AND no new serialization AND realized deletion valued at LOCAL wait-column rate AND (if it buys a sink) L amortizes mass; SWBF result: zero-added-mass deletion pays at EVERY depth","DONE 2026-07-09: SwiGLU-BWD fold won everywhere eligible incl nano -> sink-mass isolated as the variable"
L7,scheduling,itax-floor,stable-quantitative,high 8/8,8,none,"short-S gap = cp x hop-price (3.4-4us df / 5.4-6.2 pdf); beat only by cp cut / price cut (executor) / amortization (mbi; yield = starvation fraction)","delete a known hop count at s128 and check gap closes by cp x 3.4-4us (coefficient never intervened on)"
L8,fusion,dag-cut-realized-value,REVISED-2026-07-09,med->high,7,"SWBF nano win at comparable dcp where RMS fold lost","hop-deletion value survives starvation when added sink mass is ZERO; sink-buying deletion pays only where L amortizes mass (supersedes flat ~1us/hop reading)","fold-vs-cache cross at s1024 (posted in dagdepth-swbf note)"
L9,scheduling,sink-cold-cap,stable-with-clause,med-high 13/13 w/ leaf reclassification,10,"hot-leaf promotions (mislabeled sinks on EMBED_BWD join path)","sink-ness is path-relative and resweep-fragile; re-classify leaves after every structural promotion","dense cap sweep bracketing one op-speed promotion -> sensitivity coefficient"
L10,scheduling,tile-granular-deps,stable-narrow,high 6/6,6,none,"granularity should match measured queue backlog not tile count","df2-style deps scoped ONLY to s8192 attention bands"
R1,resources,register-lifetime,stable,high 9/9,9,none,"register file buys time-shifting not bandwidth; caching pays iff it deletes a DAG node; loss scales with lifetime span (DKV RS lost at IDENTICAL resource counters)","re-run rmsnorm single-pass cache inside pdf 240-reg image (machine-law vs image-law)"
R2,resources,4warp-quanta-pareto,stable,high 9/9,9,none,"register points are discrete compiled IMAGES {168;224;240-region;255}; decision is routing never tuning; flat caps always lose","image-partitioned 512-thread executor (512-thr death was compiler-budget-scoped)"
R3,resources,residency,stable-narrow,high 5/5,5,none,"resident warp charges issue+registers even parked; net = feed work minus fixed dilution (+34..+145 short-S)","pdf shell with truly-empty WG2 vs df (separate dilution from image cost)"
R4,resources,smem-page-tax,stable,high 5/5+1,5,"D128 trio funded 120KB page (in-clause: page on-path for whole family)","smooth per-KB tax on EVERY shape + hard coop-launch cliff ~148-160KB; promotion unit is the PAGE","carveout sweep 100->208KB in 16KB steps no code change"
R5,resources,dispatch-spill-noinline,moving,medium ~7/9,7,"pdf shell (noinline made LD worse 4.83->6.32M); WGMMA call-poison (forceinline pipelines at zero reg delta yet in-model loses)","invariant = no live caller state across ABI/dispatch boundary; noinline one enforcement sometimes the artifact; deepest form = ptxas per-image allocation -> image partitioning","2x2x3 bisect {caller state}x{WGMMA}x{inline/noinline/separate-image}"
R6,resources,stack-not-runtime,stable,high 6/6,6,none,"static counters are capacity declarations; cost is realized demand (executed local-LD + wall clock both orders); runtime senior partner","regress runtime delta on local-LD sector delta across ~20 recorded trials"
R7,resources,register-point-routing,stable,high ~10/10 in-domain,10,"uniform HYGIENE wins (claim132; Instr-smem; SW128) are outside domain (protocol correctness not operating point)","architecture IS the routing table {register point x executor x route} keyed by (family;shape)","predict held-out s512 routing table from gate laws then measure (transfers = science)"
R8,resources,working-set-primacy,moving-young,high 4/4 arcs but n~1 op,4,"none yet; algorithmic axis untried and impossibility claims rot fastest","artifact spill removable (R5) vs demand spill conserved under rearrangement; exits = smaller-live-set algorithm or bigger register point where taxes clear","FA4-style smaller-live-set attention-bwd restructure under 240-reg pdf image at s8192"
M1,memory,write-amplification,moving,med-high ~9/12,9,"founding +119us one-pass refutation was drain+context artifact (standalone GO with bulk drain)","price writes by serialization mechanism x tail position not volume; L2 absorbs load side","band-preserving one-pass at exact-s4096 (separates write cost from overlap deletion)"
