trial_id,trial,category,shape,verdict,delta,landed,era,source_file
T001,dataflow executor (df) replaces waves,executor,all,PROMOTED,nano 2.53->1.93ms,yes,v1,inventory/01-notes1-v0-to-p4b.md
T002,cp.async BK64 WMMA rewrite,gemm-fwd,all,NO-GO,-10% in-model,no,v1,inventory/01-notes1-v0-to-p4b.md
T003,MN-major wgmma bwd routing,gemm-dx,all,NO-GO,nano 1.85->2.05ms,no,v2,inventory/01-notes1-v0-to-p4b.md
T004,qk-RMSNorm+RoPE fused epilogue (bit8),fusion,D64,PROMOTED,1 chain instr/layer deleted,yes,v2,inventory/01-notes1-v0-to-p4b.md
T005,SwiGLU paired-column tiles (bit9),fusion,nano/small,NO-GO,+88/+297us + silent 320B spill,no,P1,inventory/01-notes1-v0-to-p4b.md
T006,CVT deletion via dy_f32,fusion,nano/small,PROMOTED,-55/-116us,yes,P1,inventory/01-notes1-v0-to-p4b.md
T007,ws scheduler offload as default,executor,nano/small,NO-GO,tax +97/+385 exceeds protocol win -64/-190,no,P4a,inventory/01-notes1-v0-to-p4b.md
T008,dual-stream 512-thread executor,executor,all,REFUTED,ptxas entry cap; 256x255=64K,no,P4b,inventory/01-notes1-v0-to-p4b.md
T009,df2 region-watermark tile deps,itax-dag,nano/small,NO-GO,+300-400us both,no,P3,inventory/01-notes1-v0-to-p4b.md
T010,MPK gmem-mailbox scheduler,executor,probe,NO-GO,5.09us/hop vs df 3.0,no,P4b,inventory/01-notes1-v0-to-p4b.md
T011,OCC2 occupancy-via-spill,executor,nano/small,REFUTED,+32-40%,no,P4b,inventory/01-notes1-v0-to-p4b.md
T012,rmsnorm_bwd single-pass register cache,rowop,small,NO-GO,+240us,no,P4b,inventory/01-notes1-v0-to-p4b.md
T013,qknorm register-dw accumulation,rowop,small,NO-GO,+58us,no,P4b,inventory/01-notes1-v0-to-p4b.md
T014,FA-class WGMMA attention trio D64,attention,D64,PROMOTED,small 9028->7118,yes,P5,inventory/01-notes1-v0-to-p4b.md
T015,dispatch Instr staged to smem,itax-dag,all,PROMOTED,-125/-484us ~8% uniform,yes,P6,inventory/01-notes1-v0-to-p4b.md
T016,hot/cold criticality rings,scheduling,all,PROMOTED,waits collapsed EMBED_FWD 91->0,yes,P6,inventory/01-notes1-v0-to-p4b.md
T017,batched rowops MK_ROW_R=8,rowop,all,PROMOTED,nano -117 small -722,yes,P6,inventory/01-notes1-v0-to-p4b.md
T018,SW128 swizzle,tma-smem,all,PROMOTED,NN 516->254us,yes,P4b,inventory/01-notes1-v0-to-p4b.md
T019,banded attention-bwd chunking,attention,S2048-8192,PROMOTED,S8192 -531us,yes,long-S,inventory/01-notes1-v0-to-p4b.md
T020,banded attention-fwd,attention,S2048-8192,PROMOTED,S8192 -481us,yes,long-S,inventory/01-notes1-v0-to-p4b.md
T021,short-S banding,attention,S512/S1024,NO-GO,neutral/negative,no,long-S,inventory/01-notes1-v0-to-p4b.md
T022,fused one-pass bwd (dQ into DKV),onepass,S4096,NO-GO,+119us 0/40,no,P4b,inventory/01-notes1-v0-to-p4b.md
T023,MK_ATTN_PIPE pipelined fwd,attention,all,NO-GO,+40..+303us,no,P4b,inventory/01-notes1-v0-to-p4b.md
T024,weight-stationary v4,gemm-fwd,probe,REFUTED,0.89-0.91x vs streaming,no,P4b,inventory/01-notes1-v0-to-p4b.md
T025,qwen n256 direct lm-head,lm-head,qwen,PROMOTED,+909us,yes,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
T026,qwen head-dX n256 fp32,gemm-dx,qwen,PROMOTED,+597us,yes,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
T027,qwen dW sk1 no-atomic,gemm-dw,qwen,PROMOTED,+3120us,yes,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
T028,qwen vocab-dW TN n256,gemm-dw,qwen,PROMOTED,+3178us,yes,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
T029,qwen cold-cap0 giant-L1,scheduling,qwen,PROMOTED,29433->22094us,yes,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
T030,D128 WGMMA attention trio in-model,attention,qwen,PROMOTED,+1885/+1628 vs WMMA,yes,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
T031,broad n256 NT BF16,gemm-fwd,s8192,NO-GO,+150/+162 0/16,no,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
T032,DKV G2 GQA-fuse,attention-dkv,small-S4096,NO-GO,+221..+455,no,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
T033,per-layer scratch dep removal,itax-dag,nano/s1024,NO-GO,deps 2030->1190 timing flat,no,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
T034,fa4b STSM P/dS staging,attention-dq,long-S,REFUTED,dq -9..-16.7%,no,Jul5-6,inventory/04-archive0707-p2-jul6-7.md
