event_id,event,type,content,era,source_file
E001,branch-free wgmma accumulate,law-declaration,data-dependent ternary between arrive/commit serializes every wgmma 60x,v2,inventory/01-notes1-v0-to-p4b.md
E002,fp32 WMMA stride x4,law-declaration,silent corruption otherwise,v0,inventory/01-notes1-v0-to-p4b.md
E003,SDPA 3-D baseline bug,retraction,every v3 ratio was vs silently math-decomposed attention; honest gaps nano 1.95x small 2.29x,P4b,inventory/01-notes1-v0-to-p4b.md
E004,P0 gap-model correction,measurement,nano = 13.6% wait / 86.4% span; hops 3-9us,P0,inventory/01-notes1-v0-to-p4b.md
E005,latency-bound verdict,measurement,SM issue 19% warps 12% DRAM<10% at 1/8 occupancy,P4b,inventory/01-notes1-v0-to-p4b.md
E006,ws warp-spec prototype gate,standalone-probe,2.77us/hop vs flat 5.69 (gate PASS),P2,inventory/01-notes1-v0-to-p4b.md
E007,fat 128x128 tiles probe,standalone-probe,s8192 lm_head -15-25% at-fill; +15-19% sub-wave (wave-gate law),Jul5-6,inventory/04-archive0707-p2-jul6-7.md
E008,fa4b w128 fwd standalone,standalone-probe,+11-19% every S (later absorbed in-model = T035),Jul5-6,inventory/04-archive0707-p2-jul6-7.md
E009,barrier-free mbarrier ring standalone,standalone-probe,-20-27% every BW-bound dX; nvjet gap 3.0->1.3x,Jul5-6,inventory/04-archive0707-p2-jul6-7.md
E010,splitK separate-reduce standalone,standalone-probe,dX-head +31%/1.50x,Jul5-6,inventory/04-archive0707-p2-jul6-7.md
E011,producer-warp GEMM standalone,standalone-probe,s8192 dX-head 69.1us/497TF = 1.03x nvjet (uniform rewrite later refuted),Jul6,inventory/04-archive0707-p2-jul6-7.md
E012,NT fwd floor declaration,floor-declaration,146us/1.66x writeback-rate "not ours to close" (broken by T074 store-policy axis),Jul6,inventory/04-archive0707-p2-jul6-7.md
E013,NT store-recipe standalone,standalone-probe,SW128 64-col slab TMA store + store-EVICT_FIRST = 110.7us/1.21TB/s (-24%),Jul8,inventory/06-archive0708-jul8.md
E014,one-pass standalone feasibility,standalone-probe,GO 1.41x/1.31x REG 202-209/224 (old +119 refutation was drain artifact; in-model still NO-GO = T068-T071),Jul7,inventory/05-archive0707-p3-jul7.md
E015,FA4 at-shape ground truth,measurement,bwd-main 389/285/212/137 TF/s (500 was machine-filling folklore),Jul7,inventory/05-archive0707-p3-jul7.md
E016,itax floor measurement,measurement,floors 262..717us; 110-133% of gap short-S; ~3.4-4us/hop df 5.4-6.2 pdf,Jul8,inventory/06-archive0708-jul8.md
E017,STACK-predicts-runtime hypothesis,retraction,WITHDRAWN: cleanest stack = slowest; executed local-LD is the metric,Jul6,inventory/04-archive0707-p2-jul6-7.md
E018,wgmma descriptor-serialization attribution,analysis-close,descriptor idiom non-factor; noinline ABI boundary C7510 (later refined by E023/E024),Jul8,inventory/06-archive0708-jul8.md
E019,singleton-drain trigger taxonomy,analysis-close,~30 lanes: DKV=skip predicate; DQ=RS-feed group; qwen NT=forceinline wrapper call; separate-global groups (scope refined by E023),Jul8-9,inventory/08-live-board-jul8-9.md
E020,qwen NT pruned-image SASS proof,sass-proof,pruned image HGMMA max-run 8 hist{8:1} CALL0 STACK0 vs default {1:216}; not timeable (no-ops other rows),Jul9-post,../qwen-nt-pruned-0ba235d.md
E021,qwen NT sidecar launch ABI,scaffold,pybind export + host callable; debug-only one-CTA,Jul9-post,../qwen-nt-sidecar-launchabi-0ba235d.md
E022,qwen NT sidecar split plan,scaffold,cutpoint instr 37; valid_topological_split=true runnable_now=false,Jul9-post,../qwen-nt-sidecar-splitplan-0ba235d.md
E023,attention split-entry SASS refutation,sass-proof,clone entry reaching ONLY OP_ATTN_DQ_WG at CALL=0 still {1:12} => attention drain BODY-STRUCTURAL not call-poison,Jul9-post,../attn-splitentry-sass-0ba235d-refuted.md
E024,attention HGMMA drain mechanism,analysis-close,ptxas 13.1 descriptor-slot management (UR quad recycling; heuristic not pressure); 4 escape classes refuted; toolkit-bump gate standing,Jul9-post,../attn-hgmma-drain-mechanism-0ba235d.md
E025,graphstep (make_graphed_step),validated-parked,+8-17us/step all shapes; meter-policy adoption decision,Jul7-8,inventory/06-archive0708-jul8.md
E026,native microbatches port,validated-parked,1.18-1.42x per-seq short-S; graphed merged s128 n=4 342us/seq = 1.44x over graph+,Jul8-9,inventory/08-live-board-jul8-9.md
E027,dkv/fwd stage-anatomy ablations,measurement,dkv: ALU 41% drain 21% syncs 28%; fwd: ALU 42.6% PV 28%; span cuts sub-translate,Jul7,inventory/02-notes2-p4b-to-jul8.md
E028,rowop long-S gap decomposition,measurement,bodies at baseline parity ~260us; bucket = co-scheduling span stretch,Jul6,inventory/02-notes2-p4b-to-jul8.md
E029,mbi yield curve,measurement,merged/2 ratios s128 0.599 deep 0.654 nano 0.664 small 0.820; tracks itax starvation,Jul7-8,inventory/05-archive0707-p3-jul7.md
E030,post-burst certified scoreboard 05e9e97,measurement,all 10 non-qwen cells improved; deep 1.267 floor; s8192 1.942 frontier,Jul8,../postburst-scoreboard-05e9e97.md
E031,cluster+cooperative launch compose,capability,neutral -2.7us opt-in; graph-capturable (enabler not win),Jul6-8,inventory/02-notes2-p4b-to-jul8.md
E032,qwen sidecar/image lane state,scaffold,image-partition mechanism live for qwen NT (E020) but attention branch closed (E023/E024),Jul9-post,../frontier-20260709-postsession.md
