law_id,ref_id,role,expected_verdict,observed_verdict,source_file,source_line
L1,T033,confirm,NO-GO,NO-GO,inventory/03-archive0707-p1-jul5-6.md,
L1,T035,confirm,NO-GO,NO-GO,inventory/02-notes2-p4b-to-jul8.md,
L1,T036,confirm,NO-GO,NO-GO,inventory/02-notes2-p4b-to-jul8.md,
L1,T023,confirm,NO-GO,NO-GO,inventory/01-notes1-v0-to-p4b.md,
L1,E027,confirm,span-cuts-sub-translate,confirmed,inventory/02-notes2-p4b-to-jul8.md,
L1,E028,confirm,bodies-at-parity,confirmed,inventory/02-notes2-p4b-to-jul8.md,
L1,T046,counterexample,NEUTRAL,PROMOTED,inventory/02-notes2-p4b-to-jul8.md,
L1,T074,counterexample,<=standalone,exceeds-standalone,inventory/06-archive0708-jul8.md,
L1,T062,boundary,stable-verdict,FLIP-post-dq-feed,inventory/05-archive0707-p3-jul7.md,
L2,E004,confirm,span-dominates,confirmed,inventory/01-notes1-v0-to-p4b.md,
L2,T061,confirm,NO-GO(tail wait),REFUTED,inventory/05-archive0707-p3-jul7.md,
L2,T121,confirm,NO-GO(wait-only),NO-GO,inventory/05-archive0707-p3-jul7.md,
L2,E016,confirm,floor-quantifies-wait,confirmed,inventory/06-archive0708-jul8.md,
L3,T087,confirm,NO-GO,NO-GO,inventory/08-live-board-jul8-9.md,
L3,T121,confirm,NO-GO,NO-GO,inventory/05-archive0707-p3-jul7.md,
L3,T016,boundary,WIN(pre-saturation),PROMOTED,inventory/01-notes1-v0-to-p4b.md,
L3,T119,boundary,WIN(starved-consumer),PROMOTED,inventory/06-archive0708-jul8.md,
L3,T120,boundary,WIN(locality/dep-edit),PROMOTED,inventory/05-archive0707-p3-jul7.md,
L4,T022,confirm,NO-GO,NO-GO,inventory/01-notes1-v0-to-p4b.md,
L4,T068,confirm,NO-GO,NO-GO,inventory/05-archive0707-p3-jul7.md,
L4,T069,confirm,NO-GO,NO-GO,inventory/05-archive0707-p3-jul7.md,
L4,T070,confirm,NO-GO,NO-GO,inventory/05-archive0707-p3-jul7.md,
L4,T071,confirm,NO-GO,NO-GO,inventory/05-archive0707-p3-jul7.md,
L4,T005,confirm,NO-GO,NO-GO,inventory/01-notes1-v0-to-p4b.md,
L4,T032,confirm,NO-GO,NO-GO,inventory/03-archive0707-p1-jul5-6.md,
L4,T125,confirm,NO-GO,NO-GO,../onepass-band-pdf-audit-0ba235d.md,50
L4,E014,probe,standalone-GO-not-model-promise,confirmed,inventory/05-archive0707-p3-jul7.md,
L5,T019,confirm,PROMOTED,PROMOTED,inventory/01-notes1-v0-to-p4b.md,
L5,T020,confirm,PROMOTED,PROMOTED,inventory/01-notes1-v0-to-p4b.md,
L5,T021,confirm,NO-GO(no straggler),NO-GO,inventory/01-notes1-v0-to-p4b.md,
L5,T038,confirm,PROMOTED,PROMOTED,inventory/02-notes2-p4b-to-jul8.md,
L5,T041,confirm,NO-GO(no exclusive straggler),NO-GO,inventory/05-archive0707-p3-jul7.md,
L5,T042,confirm,NO-GO(multi-reduce),NO-GO,inventory/02-notes2-p4b-to-jul8.md,
L5,T071,boundary,WIN-if-banding-sufficed,NO-GO(L4-dominates),inventory/05-archive0707-p3-jul7.md,
L6,T004,confirm,PROMOTED,PROMOTED,inventory/01-notes1-v0-to-p4b.md,
L6,T006,confirm,PROMOTED,PROMOTED,inventory/01-notes1-v0-to-p4b.md,
L6,T091,confirm,NO-GO(new serialization),NO-GO,inventory/08-live-board-jul8-9.md,
L6,T108,confirm,NO-GO(replacement),NO-GO,inventory/02-notes2-p4b-to-jul8.md,
