results/AGENT-COORDINATION-ARCHIVE-20260707.md,54,2026-07-06,attention-fwd,combine-unroll post-qkrope boundary recheck,s4096+s3072,PARKED,2105Z log contaminated (absolutes ~5.7ms; means contradicted medians),parked with no source change; reclaim needs clean local GPU repeat
results/AGENT-COORDINATION-ARCHIVE-20260707.md,68,2026-07-06,gemm-fwd,qkrope n128 boundary widening,s3072+s4096,PROMOTED,S4096 -41.71/-31.50us; S3072 -43.01/-39.44us 40/40 both orders; S2048 mixed -8.82/+4.34 not gated,gate now exact (3072;4096;8192); forced-old loses +31..+39us
results/AGENT-COORDINATION-ARCHIVE-20260707.md,95,2026-07-06,gemm-fwd,s8192 fused-qkrope n128 epilogue,s8192,PROMOTED,old loses +56.37/+52.26us (0-1/16); qkrope bucket 211.4->173.1us; profile 6883.2us,D64 n128 epilogue for flags&256 qkv fwd rows
results/AGENT-COORDINATION-ARCHIVE-20260707.md,122,2026-07-06,attention-dq,scalar dQ store recheck post-89d0297,s8192,NO-GO,-1.42us (9/16) then +2.74us (5/16) order-mixed,keep _adqf2 float2 store
results/AGENT-COORDINATION-ARCHIVE-20260707.md,140,2026-07-06,attention,band-order lpt recheck post-89d0297,s8192,NO-GO,+2.82/-1.22us order-mixed,keep dq_first
results/AGENT-COORDINATION-ARCHIVE-20260707.md,159,2026-07-06,attention,bwd band T44 recheck post-89d0297,s8192,NO-GO,+7.98/+10.50us (7/16; 4/16),keep T40
results/AGENT-COORDINATION-ARCHIVE-20260707.md,176,2026-07-06,gemm-dx,s8192 exact n256 NN BF16 route,s8192,PROMOTED,-29.14/-18.00us 15/16 both orders; forced-old +16.30/+22.19; profile 6984.3us,moves 12 NN rows; three exact tuples gated in mk.py
results/AGENT-COORDINATION-ARCHIVE-20260707.md,201,2026-07-06,gemm-fwd,broad n256 NT BF16 force,s8192,NO-GO,+150.26/+162.40us 0/16 both orders,keep n256 NT limited to lm-head/head-dX gates
results/AGENT-COORDINATION-ARCHIVE-20260707.md,220,2026-07-06,attention-dkv,small dKV row-scalar broadcast,small,NO-GO,+1.55/+5.84 then 160-rep collapse -0.06/+3.94,small profile 3333.5us; ATTN_DKV 310.3us still top
results/AGENT-COORDINATION-ARCHIVE-20260707.md,242,2026-07-06,ce,CE_BWD label-fixup broadening sweep,s1024-s4096,NO-GO,S1024 -6.54/+2.08; S2048 -7.18/+9.01; S3072 -0.98/-0.05; S4096 -9.34/+1.07,no shape met two-order gate; keep fixup at exact S8192/small/qwen
results/AGENT-COORDINATION-ARCHIVE-20260707.md,265,2026-07-06,ce,small CE_BWD label-fixup,small,PROMOTED,-2.67/-3.30 then confirm -1.28/-3.87; forced-old loses +3.84/+2.70,spill-safe LOCAL:0
results/AGENT-COORDINATION-ARCHIVE-20260707.md,291,2026-07-06,ce,s8192 CE_BWD label-fixup,s8192,PROMOTED,-44.78/-31.82us 16/16; CE_BWD 162.4->144.2us; old loses +22.29/+31.65,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,317,2026-07-06,ce,qwen OP_CE_BWD label fixup,qwen4b-l1,PROMOTED,-26.14/-25.28 then -13.01/-30.48; old +33.18/+24.37; CE_BWD 294.2->256.0us; total 8858.0us,MK_CE_BWD_LABEL_FIXUP added; writes label element once after block sync
results/AGENT-COORDINATION-ARCHIVE-20260707.md,350,2026-07-06,attention-dkv,s8192 dKV row-broadcast recheck post-combine,s8192,NO-GO,-12.18/-3.50 then repeat -24.40/+5.57 order-mixed,composition sensitivity same as earlier revert; keep gate empty
results/AGENT-COORDINATION-ARCHIVE-20260707.md,372,2026-07-06,qwen,mbar coverage recheck (forced MK_GEMM_MBAR_RING=0),qwen4b-l1,NO-GO,forced-old +363.39/+331.84us 0/16 both orders,keep generic/NN/TN mbar coverage enabled
results/AGENT-COORDINATION-ARCHIVE-20260707.md,390,2026-07-06,attention,s8192 bwd band retune post-combine,s8192,NO-GO,T36 +81.82 (1/16); T48 +59.65 (2/16); T44 -2.24/+11.34 mixed,keep T40
results/AGENT-COORDINATION-ARCHIVE-20260707.md,411,2026-07-06,qwen,n256 route recheck (forced old nmajor/stage3),qwen4b-l1,NO-GO,M-major-old +69.58/+55.02; stage2-old +2569.49/+2571.98 0/16,keep N-major and stage3 default-on
results/AGENT-COORDINATION-ARCHIVE-20260707.md,433,2026-07-06,qwen,n256 NT mbar split (_gmbar_n256ntold),qwen4b-l1,PROMOTED,NT-old beats full mbar -112.35/-140.50; forced-full loses +145.18/+123.68 0/16; total 8904.8us,commit 8ffb52f; NN/TN stay on mbar ring; NT restored to old loop
